delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,polygon.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,beeeep.started,beeeep.stopped,beep.stopped,response.started,text.started,textbox.started,mouse.started,button.started,response.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.4,400,unexp,2,6,30,1,180.4687825,,180.4625838,180.4687825,180.5686323,181.4687314,181.4687314,182.0218678,space,0.54663,None,182.0234796,182.4350575,182.7512396,182.7411497,182.7411725,182.7512396,182.7512396,0.0005733,182.7512396,185.7890487,100,[0.02],[-0.32666666666666666],[1],[0],[0],[3.0464038000000073],1,[3.046566700000085],[3.0465747999999166],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,1000,exp,2,7,31,5,185.817493,,185.7988831,185.817493,185.9015276,186.8015437,186.8180712,186.9041244,space,None,None,186.9074304,187.617808,187.9337802,187.915929,187.9159518,187.9337802,187.9337802,0.0006601,187.9337802,189.8548183,300,[0.02],[-0.32666666666666666],[1],[0],[0],[1.937285299999985],1,[1.937469799999917],[1.937478399999918],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,1000,exp,2,8,32,6,189.8675386,,189.8623178,189.8675386,189.967747,190.8675644,190.8675644,191.5201316,space,0.6404438,None,191.5217227,191.6338455,191.9503555,191.9313482,191.9313678,191.9503555,191.9503555,0.000681,191.9503555,194.8032688,50,[0.02],[-0.32666666666666666],[1],[0],[0],[2.8704686999999467],1,[2.870562600000085],[2.870569899999964],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,400,unexp,2,9,33,2,194.8168406,,194.809657,194.8168406,194.9168129,195.8167003,195.8167003,197.1702875,space,1.3429934,None,197.1718286,197.8831781,,198.1695521,198.1695712,198.1824633,198.1824633,0.000518,198.1824633,200.7362296,100,[0.02],[-0.32666666666666666],[1],[0],[0],[2.5653762000001734],1,[2.5654824999999164],[2.5654879999999594],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,1000,exp,2,10,34,9,200.7655796,,200.7485409,200.7655796,200.8499198,201.7495142,201.7658887,201.7687796,space,0.0031606,None,201.7703825,201.8828712,202.2150444,202.1942434,202.1942723,202.2150444,202.2150444,0.0005631,202.2150444,204.3864797,20,[0.02],[-0.32666666666666666],[1],[0],[0],[2.1907739000000674],1,[2.190929800000049],[2.1909370000000763],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,1000,exp,2,11,35,3,204.3989381,,204.392834,204.3989381,204.499085,205.3987066,205.3987066,206.2354328,space,0.8316436,None,206.2372587,206.348472,206.6812428,206.6651341,206.6651553,206.6812428,206.6812428,0.0005735,206.6812428,209.1191911,20,[0.02],[-0.32666666666666666],[1],[0],[0],[2.452724499999931],1,[2.4528256000000965],[2.4528313999999227],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,400,unexp,3,0,36,2,209.1317467,,209.125414,209.1317467,209.2317738,210.1319478,210.1319478,210.1847251,space,0.0475256,None,210.1863004,210.8979372,,211.1719739,211.1719992,211.1817058,211.1817058,0.0005386,211.1817058,213.5022696,800,[0.02],[-0.32666666666666666],[1],[0],[0],[2.328830799999878],1,[2.3289896999999655],[2.328997000000072],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,400,unexp,3,1,37,0,213.5145156,,213.5089069,213.5145156,213.6147458,214.5143506,214.5143506,214.6676778,space,0.1519822,None,214.669258,214.7808805,215.1302031,215.1122902,215.1123207,215.1302031,215.1302031,0.0007762,215.1302031,219.533147,250,[0.02],[-0.32666666666666666],[1],[0],[0],[4.419255199999952],1,[4.419345099999873],[4.419350599999916],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,1000,exp,3,2,38,8,219.5474345,,219.5394865,219.5474345,219.6470808,220.5471717,220.5471717,220.8839092,space,0.3206375,None,220.8854778,221.596561,221.9127808,221.900222,221.9002439,221.9127808,221.9127808,0.0005392,221.9127808,224.3666716,100,[0.02],[-0.32666666666666666],[1],[0],[0],[2.465079699999933],1,[2.4651905000000625],[2.4651960000001054],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,1000,exp,3,3,39,5,224.3797783,,224.3731163,224.3797783,224.4797158,225.3795676,225.3795676,225.4158388,space,0.0272452,None,225.4174901,226.1294061,,226.3905384,226.3905568,226.4120962,226.4120962,0.0004744,226.4120962,228.5830509,900,[0.02],[-0.32666666666666666],[1],[0],[0],[2.191115800000034],1,[2.191264300000057],[2.1912715000000844],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,1000,exp,3,4,40,9,228.5959613,,228.5893337,228.5959613,228.6957545,229.5959527,229.5959527,230.0151773,space,0.4095018,None,230.0167105,230.1288059,230.4288335,230.4181869,230.4182048,230.4288335,230.4288335,0.00047,230.4288335,233.3481677,120,[0.02],[-0.32666666666666666],[1],[0],[0],[2.9287171000000853],1,[2.9288166999999703],[2.928822299999865],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
